mag_x (uT),mag_y (uT),mag_z (uT)
3.271389160392576656e+01,-8.507131240752105125e-03,3.778956600688223944e+01
3.271003600244095111e+01,-8.434966906118725530e-03,3.780576126920114177e+01
3.269326127467293475e+01,-2.027160678977013922e-02,3.779326483485545651e+01
3.269492189447290542e+01,-4.987270096451208810e-05,3.779924202181311443e+01
3.269126035646793582e+01,5.283012599706130366e-03,3.776819968280008055e+01
3.268965588106865994e+01,-7.417765320362281617e-03,3.778387198035759553e+01
3.270228843545908148e+01,-5.906778950833081222e-03,3.777925904791701583e+01
3.268338549587718234e+01,5.989261953316163054e-03,3.778862980235476954e+01
3.270298975863239122e+01,1.045606630908428245e-02,3.779508418010761517e+01
3.267789424453375347e+01,-1.228052287048152051e-02,3.779008031490034369e+01
3.271016449553103911e+01,-2.966093773674742268e-03,3.776772896829710646e+01
3.267761517384106895e+01,-1.749924750405387405e-02,3.779855149763432109e+01
3.269019295416445203e+01,1.245079757735344586e-02,3.778579037680738395e+01
3.269755095536405065e+01,1.276511587617375557e-02,3.777647218180649702e+01
3.270178388963636706e+01,1.093228086826368399e-02,3.779481035965579139e+01
3.269922800769018068e+01,1.075293891933267083e-02,3.777725316138150191e+01
3.267521504973635871e+01,-1.744406638168826545e-02,3.779000745361156532e+01
3.267133132179850463e+01,2.040694298911643195e-02,3.777653101077982711e+01
3.270365522928645419e+01,-6.077532738177877404e-03,3.778863595311858603e+01
3.269151724592533981e+01,1.626087877455792766e-02,3.778570734497551342e+01
3.267604650661851906e+01,-7.348822822635348376e-03,3.778934195159050091e+01
3.269699591745872880e+01,-9.975047540437055257e-03,3.779283322755340890e+01
3.268543404524311313e+01,4.395049223392055553e-03,3.779688650067188149e+01
3.269407819254684000e+01,4.150265873142249679e-03,3.778429789399670824e+01
3.269655262553288821e+01,-4.162051860687503228e-05,3.778327020522448976e+01
3.269993540787089614e+01,4.282111747058179110e-03,3.778858205184823049e+01
3.269231533275112866e+01,1.150726483656596202e-02,3.779961342369263377e+01
3.268730258546241174e+01,1.284894241961235736e-02,3.777836051439905418e+01
3.268702565608322885e+01,-6.046739970149876860e-03,3.779784919012239897e+01
3.267031298534254802e+01,2.102152230901945928e-03,3.778856126202551735e+01
3.269483525363249754e+01,-4.545728711748175770e-03,3.778295629514634868e+01
3.269374029376874802e+01,-1.829003493283678713e-02,3.778994450668474059e+01
