gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.927373262335923251e-02,-1.598190686575438196e-02,-6.833593362732923171e-02
4.839676670807890185e-02,4.252249091603441111e-02,-2.886087293786969779e-02
2.468473941955152962e-02,-1.278980892743131204e-02,2.754825097843688689e-02
4.435902298457518322e-02,-1.291663169263204507e-02,-5.573268035634132422e-02
1.496510556809470217e-03,2.743916365452984604e-02,9.913315247885998160e-02
-7.526035236632686032e-02,-3.409691929840173025e-02,2.468395903752878401e-02
-2.180983344826275400e-02,3.353306635790724577e-02,-2.901424110659342817e-02
-2.008768567602790475e-02,4.811332503853023995e-02,-3.026499829986411053e-02
3.772437608261240000e-02,4.425326422397811432e-02,1.167635044015549045e-02
1.335368754394951341e-02,6.278042558098167678e-03,-1.416108213479947142e-01
-4.701488856268427018e-03,-1.098351628120512735e-02,-6.579911433524925080e-02
2.638412061760792016e-02,1.658418369252976157e-02,-3.307418332581166069e-03
-4.921541830709551257e-02,-5.734135567030860386e-02,-8.831546730870724893e-02
-6.553396535143807267e-03,-4.792775832008669412e-02,-1.317902983898046852e-02
-5.663560412543197295e-03,6.741828795099190537e-03,1.014737128416752683e-02
-3.245226920506299323e-02,1.279435457996846125e-02,-5.559746783414257904e-02
7.887265834582336821e-02,2.754793929745221956e-02,-3.273313934831824368e-02
3.445639807226013153e-04,3.494396112840921637e-02,-3.683997414838205506e-03
-4.910992642879332543e-02,-6.612210204979199202e-02,-5.060576314998862721e-03
4.708213510024232551e-02,-2.996612192633674177e-02,2.611742675454507227e-03
-5.150888290031853389e-02,-2.227755039803647457e-04,-2.926563273090751482e-03
-3.561671687016663979e-02,-1.218801287684598625e-02,1.672906039032784689e-02
3.397615926174199497e-02,4.006889425374661473e-02,3.281605124687094616e-02
8.841783763057151080e-02,-3.140081970397597816e-02,2.176719914318401422e-02
3.101909820765037795e-02,-2.494047760558121794e-03,3.827486583579707731e-03
-5.667978008328070777e-02,5.691982722226191990e-03,3.751528748130691232e-02
-3.526642782354806605e-02,-6.478997743183689817e-02,4.418062997891486487e-02
2.919607561170204507e-02,4.370087853664069572e-02,-3.477634792785002857e-03
-4.385871095455236290e-02,5.029815022544471131e-02,2.858845562667907542e-02
-2.344300390992422323e-02,-3.697500705209758737e-02,1.052157178540296181e-02
3.781557212240258849e-03,-5.147098086089244712e-02,-1.824060450337774628e-02
2.514061606827530312e-02,-2.455708431262467947e-02,-4.415007946815115158e-02
1.897432898486355393e-02,1.371532752145990519e-01,-7.845430057837429749e-02
6.134653594097987106e-02,-1.222703379683312249e-04,-6.363965590473867617e-02
-2.109628528997812419e-02,-2.465584016441107335e-02,-1.978841401101211206e-02
5.290835996312494988e-02,-5.420240110259393063e-02,4.513911112442421658e-02
5.518812267330638205e-02,-2.190748768415464592e-02,-3.583785853726537129e-02
-3.938845050028633166e-02,2.203728425298575808e-02,-4.946925498150593625e-02
-3.988473067905570074e-02,-1.687976298956840593e-02,4.918275645078722114e-02
3.972551159229698731e-02,2.629041784184967326e-02,-1.369536966483990773e-02
-4.575700241620560965e-02,-4.774849933924011497e-02,8.012077202888567840e-02
-3.091563955157764984e-02,1.291310524371476649e-02,-4.519740358283855231e-02
-1.343851614390792482e-02,-4.867182140941423568e-02,1.283358905033647746e-02
-6.932523609481844318e-02,6.441839833089474388e-02,3.712497490469376243e-02
4.005188467805768232e-02,-7.340588564325230270e-02,1.126059215740024197e-02
-6.165750517084223059e-02,-5.915775059087821641e-02,-7.093369070793446862e-02
1.080377826731445182e-02,-1.021850064623978926e-01,8.293156290709110742e-03
6.406538203333479731e-02,-2.430960649535316223e-02,8.848137099442165282e-03
-8.806759377665509050e-03,5.596147005354883130e-02,-1.641103045091130792e-03
-4.721419393057197517e-02,8.581073790962663594e-02,-4.177829801068760895e-02
-1.993967531204259014e-02,1.276122858286830863e-01,8.685232546071283699e-02
5.712463165846284191e-02,5.082077413573515834e-02,4.135860480319584337e-02
3.008204398076367875e-03,-2.133765172127699908e-02,-2.727526272357683797e-03
-2.451575145699781341e-02,-3.432697699066798031e-02,6.684965142306523948e-04
-5.594515618688444825e-02,2.485154706251339538e-02,3.228353931350535361e-02
3.332472345868280061e-02,-8.529051401119314146e-02,-2.087902565040748032e-02
5.703126092686830635e-03,-8.897598030316306028e-02,4.710954974292311248e-02
-1.315320191088036883e-01,-1.153575606366544215e-02,6.153765735771957179e-02
-2.757856998903054566e-02,-2.853820263359297532e-02,-3.042270811041320952e-02
8.798570447609408221e-03,2.257443523874187383e-02,3.010139803258525884e-02
-4.572612433232894902e-02,8.642589496774388813e-02,2.019240509869956943e-02
