accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.865752041367109593e-03,-3.520552090482916875e-04,-9.789387103626401299e+00
9.096079403846454511e-03,-2.590315290253682583e-05,-9.798495775845351474e+00
7.292587559463057159e-03,-8.873132218101157515e-03,-9.799853002859258311e+00
-5.125972738706502559e-03,-7.134576066091799680e-03,-9.797152559816174389e+00
-5.179682722331416592e-03,-5.913844200133004485e-03,-9.804969500965967200e+00
2.814072861384863539e-03,-5.857870154061830398e-03,-9.794825039673362710e+00
1.189724378262166458e-03,3.636372831249401472e-03,-9.796708882119240513e+00
-2.827671355953030857e-03,1.268094687927836649e-03,-9.808466342596737775e+00
2.212135799488463769e-03,1.122910201181365588e-03,-9.790428930538885410e+00
-5.669291734933787352e-03,-6.389061479347884001e-03,-9.789429605738098061e+00
-3.361749595784001374e-03,4.602626157037706910e-03,-9.797304566042523533e+00
2.368192220084054580e-03,7.963347251688722775e-03,-9.798068768197630618e+00
6.385062542065393816e-03,-1.324101820530894022e-02,-9.797505823206341447e+00
-3.586689508064269151e-03,6.062994914136730223e-03,-9.787929603745881835e+00
1.398597165202350185e-03,1.001907739447697315e-02,-9.796937493220715609e+00
-3.099231235546976489e-03,-5.106745481784876958e-03,-9.796478696962532595e+00
-3.614597370920405277e-03,-3.618602833884897174e-03,-9.793241061808767967e+00
6.493742369503671848e-04,-1.650335946363361110e-03,-9.793815407919561622e+00
1.883218450952919842e-03,1.323670518234321223e-03,-9.796807818883220165e+00
7.981068464351178185e-03,-1.495339989626839720e-03,-9.783351485796467628e+00
-3.985582108505652046e-03,5.472854309737104107e-03,-9.786680990154861703e+00
-8.820348378842590101e-04,-4.280540167449689961e-04,-9.794082206981446603e+00
1.146910040464308063e-02,3.292483830672880436e-03,-9.792216703261965804e+00
8.762816759889456575e-03,4.479164195475761334e-03,-9.799488596729995393e+00
6.470430528022484999e-04,3.993571436701223373e-03,-9.795910272282522868e+00
-7.005513263559313801e-03,5.473868550077710601e-03,-9.785332282149193261e+00
1.963195116235372933e-03,4.570584377931408322e-03,-9.793108781843697486e+00
1.485596459174439625e-03,-1.314723289144992778e-02,-9.794573131615063488e+00
-8.791365983933967926e-03,5.620294221774334645e-03,-9.794229525054822361e+00
3.432830579456779430e-03,3.658072198787467016e-03,-9.792537731936683087e+00
4.603680984385376783e-03,-6.362592870846976376e-03,-9.797588370474665354e+00
8.449883514671067963e-03,3.399910211897808239e-03,-9.789359526527631417e+00
2.548687036617542766e-03,-7.979106240371680592e-03,-9.788827253400555151e+00
-4.143605263385753169e-03,-4.311809870212550237e-03,-9.795797430010638962e+00
3.326762073351716663e-03,-7.428530109884842574e-03,-9.795961566276492505e+00
-4.284395886103666007e-03,-2.144515510206493857e-03,-9.793762036283101935e+00
5.739553897581980632e-04,2.696234046740217643e-03,-9.793843793029198608e+00
9.404189857131590394e-04,-2.680904406253719480e-03,-9.796673593634034560e+00
2.450854715783479937e-03,-6.311930659486036412e-03,-9.796048759171908316e+00
-4.279914794121221153e-03,-1.473103961885491092e-03,-9.798782343192286248e+00
-9.503504933935830873e-03,6.591337176536417493e-03,-9.794604589888709967e+00
-6.628529127923132348e-03,8.920393288382526611e-03,-9.789511676029702514e+00
-4.062764796578928646e-03,-2.575644309436485530e-04,-9.786705059734696732e+00
-2.320018242516098429e-03,5.172684091945111556e-03,-9.792088571984550072e+00
-7.558848849771248116e-03,-2.190387243886429138e-04,-9.802323107814107317e+00
-4.692252071314900221e-03,1.554533111279671979e-03,-9.799583440136727219e+00
-4.831788983281701776e-03,-2.824956727204745634e-03,-9.807262575970581153e+00
-5.199951984591976058e-03,-1.712363579306825333e-03,-9.791772832749115807e+00
-2.041477414547224981e-04,9.451815165055280771e-03,-9.792193075876143737e+00
2.760183276120081481e-03,8.842794915352916035e-03,-9.794065305138182964e+00
2.175188844578114684e-03,-1.907316472838232210e-04,-9.799157026044781560e+00
3.486122237357182439e-03,5.156709696973432733e-03,-9.791220096225572433e+00
-5.828316594795182127e-04,-5.058041568122951560e-03,-9.801871778025105897e+00
5.582954699433584182e-03,2.826000031088638127e-03,-9.795620946912656279e+00
2.904406241805967530e-05,-4.772873322308162324e-03,-9.790954529793914674e+00
4.925514548171342280e-03,1.616756780889464212e-03,-9.788332704209702584e+00
-5.402798279946920135e-03,1.689147980581694186e-03,-9.795713795064308727e+00
4.399166593469998440e-04,1.069653138750074201e-03,-9.794982390203077927e+00
2.623228208281025691e-03,-1.992139444138289923e-03,-9.791134453727593723e+00
