gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707011136085872538e+06,4.688717007940931246e+06,3.360419739146350417e+06,6.929993758649528601e+00,-8.424712962371636374e-03,5.495634837913133085e-03
-2.707005263148397673e+06,4.688708217494295910e+06,3.360429510511525441e+06,7.045321100531595881e+00,-3.041959741750139418e-02,3.600135415364366653e-02
-2.707008326383196749e+06,4.688714285490238108e+06,3.360427305189043749e+06,7.112921261838951459e+00,-3.508079384464016237e-02,1.672408877219222142e-02
-2.707003452347100712e+06,4.688712776041441597e+06,3.360426362814601511e+06,7.225533766694532289e+00,-3.071048692373736996e-02,-7.175633585511347057e-02
-2.707009370439760387e+06,4.688706969723740593e+06,3.360443249023545068e+06,7.314491729366966233e+00,1.055244647857662699e-01,1.275624818744173217e-01
-2.706997789487360977e+06,4.688716785671791062e+06,3.360438060088135302e+06,7.340547701521698443e+00,-6.972258949308395015e-02,7.460024554041559675e-02
-2.706997445150971413e+06,4.688715980470408686e+06,3.360433469599773642e+06,7.419884398468359343e+00,1.630792204031979295e-03,1.029075810331540192e-02
-2.706999355514792725e+06,4.688714958154588938e+06,3.360434326702505350e+06,7.632091669152316626e+00,-4.921059814194421456e-02,-5.693943818940139234e-02
-2.706997982856178656e+06,4.688710437995621003e+06,3.360441274339369033e+06,7.716486678393536636e+00,7.251510793067154903e-02,-4.891032272568493489e-02
-2.706994861333081499e+06,4.688714392883136868e+06,3.360428692765807267e+06,7.810947421757258979e+00,-5.707197139774594641e-02,2.539458037212824915e-03
-2.706997815138166770e+06,4.688704700247077271e+06,3.360428425830805209e+06,7.853109894894893195e+00,6.362697384961812919e-03,3.490762935516436571e-02
-2.706995000684532337e+06,4.688715062827741727e+06,3.360417682832704857e+06,7.954335920230252377e+00,-6.702092220582113978e-03,1.961865444048312146e-02
-2.706999662500582170e+06,4.688704643408101052e+06,3.360434003884167876e+06,8.232811960441061672e+00,-4.465110311669559517e-02,2.393602728500798804e-02
